CGLM ;     WithSx ; 117 ;   0.000000
CGLM ;     WithSx ; 118 ;   0.000000
CGLM ;     WithSx ; 119 ;   0.000000
DGLM ;   QxStress ; 0 ; 17928772780.735592
DGLM ;   QxStress ; 1 ; 17499972329.637379
DGLM ;   QxStress ; 2 ; 16964567404.430233
DGLM ;   QxStress ; 3 ; 16586830394.439806
DGLM ;   QxStress ; 4 ; 16247988546.294542
DGLM ;   QxStress ; 5 ; 15944668362.833639
DGLM ;   QxStress ; 6 ; 15837323602.208097
DGLM ;   QxStress ; 7 ; 15575322767.770205
DGLM ;   QxStress ; 8 ; 15486155796.463943
DGLM ;   QxStress ; 9 ; 15306011478.969826
DGLM ;   QxStress ; 10 ; 15089065235.082455
DGLM ;   QxStress ; 11 ; 14916784080.167078
DGLM ;   QxStress ; 12 ; 14776214760.727407
DGLM ;   QxStress ; 13 ; 14634612701.160892
DGLM ;   QxStress ; 14 ; 14497192253.738518
DGLM ;   QxStress ; 15 ; 14357050353.687859
DGLM ;   QxStress ; 16 ; 14198282912.550789
DGLM ;   QxStress ; 17 ; 14064179203.742115
DGLM ;   QxStress ; 18 ; 13900225820.913692
DGLM ;   QxStress ; 19 ; 13746319632.802242
DGLM ;   QxStress ; 20 ; 13580365945.103865
DGLM ;   QxStress ; 21 ; 13398385464.270609
DGLM ;   QxStress ; 22 ; 13212205248.632010
DGLM ;   QxStress ; 23 ; 13045108462.151747
DGLM ;   QxStress ; 24 ; 12876837259.605850
DGLM ;   QxStress ; 25 ; 12721328723.547840
DGLM ;   QxStress ; 26 ; 12560177358.358950
DGLM ;   QxStress ; 27 ; 12458291007.452223
DGLM ;   QxStress ; 28 ; 12324887156.107517
DGLM ;   QxStress ; 29 ; 12214454882.732714
DGLM ;   QxStress ; 30 ; 12130090174.370754
DGLM ;   QxStress ; 31 ; 12123999344.857933
DGLM ;   QxStress ; 32 ; 12145908065.453176
DGLM ;   QxStress ; 33 ; 12176847015.043373
DGLM ;   QxStress ; 34 ; 12234997453.579609
DGLM ;   QxStress ; 35 ; 12319985143.849834
DGLM ;   QxStress ; 36 ; 12457323204.943472
DGLM ;   QxStress ; 37 ; 12590834284.358006
DGLM ;   QxStress ; 38 ; 12720729740.026249
DGLM ;   QxStress ; 39 ; 12908870564.648605
DGLM ;   QxStress ; 40 ; 13067525238.260389
DGLM ;   QxStress ; 41 ; 13279903630.797007
DGLM ;   QxStress ; 42 ; 13599308816.431824
DGLM ;   QxStress ; 43 ; 13976737477.782785
DGLM ;   QxStress ; 44 ; 14442067936.637865
DGLM ;   QxStress ; 45 ; 14936213884.889540
DGLM ;   QxStress ; 46 ; 15597397605.334675
DGLM ;   QxStress ; 47 ; 16234643762.204018
DGLM ;   QxStress ; 48 ; 16940781646.617161
DGLM ;   QxStress ; 49 ; 17095852482.554401
DGLM ;   QxStress ; 50 ; 17264699348.529053
DGLM ;   QxStress ; 51 ; 17349917222.587017
DGLM ;   QxStress ; 52 ; 17235402564.769218
DGLM ;   QxStress ; 53 ; 17082263861.707844
DGLM ;   QxStress ; 54 ; 16868513596.031874
DGLM ;   QxStress ; 55 ; 16625424299.266239
